"t.depth","t.mm"
95.092,0.73457
95.14,0.97942
95.151,0.73457
95.191,0.73457
95.25,1.2243
95.253,0.48971
95.28,0.73457
95.313,0.6856
95.343,1.3712
95.39,1.0284
95.421,0.6856
95.447,1.0284
95.518,1.3712
95.526,1.0284
95.574,1.652
95.59,0.55068
95.597,0.55068
95.621,0.27534
95.665,0.82602
95.673,0.82602
95.78,0.27534
95.799,0.55068
95.804,1.9274
95.829,2.2027
95.847,0.55068
95.861,0.27534
95.866,0.55068
95.898,0.55068
95.902,0.55068
95.906,0.82602
95.933,1.3767
95.936,0.27534
95.949,0.55068
95.969,0.55068
95.98,0.82602
95.996,0.55068
96.023,1.1014
96.04,2.2027
96.06,0.82602
96.068,0.55068
96.079,0.27534
96.083,1.652
96.084,0.55068
96.097,1.652
96.11,1.1014
96.114,1.1014
96.136,2.2027
96.152,0.82602
96.159,1.3767
96.175,1.652
96.178,0.55068
96.199,0.55068
96.207,1.9274
96.238,0.55068
96.248,1.652
96.252,0.82602
96.255,0.55068
96.257,0.55068
96.28,0.82602
96.292,0.55068
96.309,0.82602
96.375,1.1014
96.379,1.652
96.388,0.55068
96.404,1.1014
96.413,0.82602
96.435,0.55068
96.446,0.27534
96.459,0.82602
96.48,5.5068
96.487,0.55068
96.493,0.55068
96.497,0.55068
96.502,0.27534
96.512,0.55068
96.518,0.55068
96.522,0.55068
96.529,0.82602
96.538,1.3767
96.56,1.1014
96.568,0.82602
96.571,0.82602
96.577,1.652
96.588,0.27534
96.589,0.27534
96.598,1.1014
96.603,2.2027
96.607,0.82602
96.613,0.27534
96.617,0.55068
96.622,0.1
96.625,0.1
96.643,0.82602
96.68,1.1014
96.696,0.55068
96.707,0.82602
96.71,0.27534
96.727,4.6808
96.748,6.6081
96.75,0.55068
96.765,0.55068
96.771,0.27534
96.784,0.55068
96.811,4.6257
96.82,1.1564
96.829,0.1
96.86,1.1564
96.864,0.38548
96.871,1.1564
96.896,3.0838
96.905,1.9274
96.93,1.1564
96.948,3.0838
96.961,0.77095
96.966,0.38548
96.986,7.7095
96.992,0.77095
97.028,2.3129
97.084,1.2364
97.088,2.2256
97.092,1.2364
97.095,2.4729
97.103,0.49458
97.107,0.74186
97.112,0.49458
97.117,0.74186
97.12,0.98915
97.127,1.2364
97.132,0.49458
97.138,2.2256
97.143,1.4837
97.15,3.2147
97.155,1.9783
97.161,2.2256
97.167,3.462
97.174,3.9566
97.176,0.98915
97.177,0.74186
97.181,0.49458
97.191,0.74186
97.195,0.24729
97.202,1.731
97.211,1.4837
97.214,0.49458
97.22,1.2364
97.228,1.2364
97.23,0.98915
97.233,0.24729
97.235,0.49458
97.246,0.74186
97.247,0.24729
97.259,0.98915
97.267,0.74186
97.283,3.462
97.288,1.4837
97.291,0.74186
97.297,1.2364
97.313,0.98915
97.315,0.49458
97.323,2.2256
97.347,1.731
97.35,0.49458
97.353,1.4837
97.362,4.9458
97.369,3.9566
97.382,0.24729
97.386,0.98915
97.402,0.49458
97.406,0.49458
97.412,2.4729
97.413,0.24729
97.416,0.49458
97.418,0.49458
97.421,0.98915
97.428,0.49458
97.431,1.9783
97.434,2.2256
97.436,0.98915
97.44,2.2256
97.444,1.4837
97.446,1.731
97.446,0.24729
97.452,2.4729
